az,gx,gy,gz,ax,ay,gx_rad,time
2.19,325.08,15.54,-1.54,0.16,-0.48,5.673716332,0
2.1,325.78,15.4,-1.96,0.13,-0.37,5.685933637,0.00120048
2.25,328.02,15.4,-2.66,0,-0.3,5.725029012,0.00240096
2.62,329.7,15.54,-3.36,-0.24,-0.23,5.754350544,0.003601441
2.85,331.24,16.52,-3.5,-0.47,-0.11,5.781228614,0.004801921
2.74,331.52,16.52,-3.78,-0.47,-0.07,5.786115536,0.006002401
2.38,330.4,14,-4.2,-0.22,-0.03,5.766567849,0.007202881
2.09,328.86,12.04,-4.2,-0.14,-0.11,5.739689778,0.008403361
1.97,328.58,14.98,-4.06,-0.23,-0.16,5.734802856,0.009603842
2.12,329.7,15.12,-4.06,-0.25,-0.06,5.754350544,0.010804322
2.59,330.82,15.4,-4.2,-0.05,0.16,5.773898231,0.012004802
2.53,330.68,17.78,-4.06,-0.03,-0.08,5.77145477,0.013205282
2.23,325.92,19.32,-3.92,0.25,-1.54,5.688377098,0.014405762
2.27,326.76,19.6,-2.38,0.51,-2.73,5.703037864,0.015606242
3.39,354.34,26.46,1.54,0.07,-0.58,6.184399672,0.016806723
3.95,385.56,34.16,1.82,-0.09,-0.22,6.729291464,0.018007203
3.18,372.12,32.9,1.96,0.04,-0.53,6.494719213,0.019207683
2.59,371.28,32.9,1.96,0.04,-0.17,6.480058447,0.020408163
2.56,366.8,34.16,3.08,0.25,-0.75,6.401867696,0.021608643
2.45,363.3,35.14,3.36,0.26,-0.22,6.340781172,0.022809124
2.41,368.2,38.78,4.2,0.1,-0.26,6.426302306,0.024009604
2.45,360.92,42.14,4.48,0.04,-0.56,6.299242336,0.025210084
2.47,362.6,45.22,5.46,-0.07,-0.06,6.328563868,0.026410564
2.47,358.82,46.48,5.6,0.03,-0.26,6.262590422,0.027611044
2,351.54,49.42,5.32,-0.14,-0.37,6.135530452,0.028811525
1.99,356.58,47.32,5.74,0.05,-0.12,6.223495047,0.030012005
1.86,355.74,49,5.6,-0.04,-0.5,6.208834281,0.031212485
1.7,355.18,50.96,5.88,0.04,-0.3,6.199060437,0.032412965
2,359.66,54.18,6.16,-0.13,-0.39,6.277251188,0.033613445
2.33,359.94,57.54,6.86,0.03,-0.12,6.28213811,0.034813926
2.42,363.44,60.2,7,-0.13,0.08,6.343224633,0.036014406
2.43,358.4,62.58,7,0.17,-0.11,6.255260039,0.037214886
2.42,355.46,63.56,7.14,0.21,-0.2,6.203947359,0.038415366
2.55,355.6,70.14,7.98,-0.19,0.05,6.20639082,0.039615846
2.4,356.72,73.08,7.98,-0.12,0.15,6.225938508,0.040816327
2.04,352.1,70.28,7.7,0,-0.05,6.145304296,0.042016807
1.9,350.28,73.08,8.54,0.2,0.1,6.113539304,0.043217287
2.12,346.92,76.86,8.4,-0.13,0.17,6.054896241,0.044417767
1.79,343.84,75.04,8.4,0.08,0.07,6.0011401,0.045618247
1.77,340.9,76.86,8.54,0.02,0.11,5.94982742,0.046818727
1.9,339.92,80.64,8.82,-0.03,0.21,5.932723193,0.048019208
1.78,336.14,82.88,8.82,-0.1,0.07,5.866749748,0.049219688
1.71,331.66,85.26,8.82,-0.14,0.12,5.788558997,0.050420168
1.72,329,87.08,8.68,-1.35,0.09,5.742133239,0.051620648
6.95,329.28,86.1,7.7,-1.72,1.12,5.747020161,0.052821128
9.35,315.14,56,3.92,-0.15,0.73,5.500230605,0.054021609
5.74,295.4,37.94,1.68,0.08,1.26,5.15570261,0.055222089
1.67,279.02,39.2,1.26,-0.08,0.39,4.869817679,0.056422569
1.59,252.84,39.34,1.82,-0.26,0.35,4.412890481,0.057623049
2.59,246.96,35.42,1.82,-0.34,0.56,4.310265121,0.058823529
2.22,232.26,28,2.66,-0.07,-0.03,4.053701721,0.06002401
